iter	Passed	Remaining
561	306817	239121
562	307371	238581
563	307929	238044
564	308554	237559
565	309077	236996
566	309991	236730
567	310800	236383
568	311423	235893
569	311932	235317
570	312471	234764
571	313066	234252
572	313788	233835
573	314356	233303
574	314868	232728
575	315406	232174
576	315916	231599
577	316535	231104
578	317040	230525
579	317487	229904
580	318040	229361
581	318539	228779
582	319062	228214
583	319578	227644
584	320229	227171
585	320787	226631
586	321358	226100
587	321864	225524
588	322395	224964
589	322891	224381
590	323419	223821
591	323962	223271
592	324474	222699
593	324970	222117
594	325499	221558
595	325967	220957
596	326480	220388
597	327007	219828
598	327529	219264
599	328063	218709
600	328615	218165
601	329095	217575
602	329623	217015
603	330117	216434
604	330643	215874
605	331179	215321
606	331730	214777
607	332244	214210
608	332770	213650
609	333252	213063
610	333737	212477
611	334208	211883
612	334710	211309
613	335299	210790
614	335798	210215
615	336310	209647
616	336869	209110
617	337563	208655
618	338035	208063
619	338599	207528
620	339067	206934
621	339662	206418
622	340193	205863
623	340712	205301
624	341216	204730
625	341727	204163
626	342344	203659
627	342854	203091
628	343421	202558
629	343954	202005
630	344465	201438
631	345033	200905
632	345506	200317
633	345997	199739
634	346619	199238
635	347156	198686
636	347713	198147
637	348289	197619
638	348870	197092
639	349358	196514
640	349892	195961
641	350449	195422
642	350990	194873
643	351552	194336
644	352056	193767
645	352647	193246
646	353182	192694
647	353707	192137
648	354178	191550
649	354686	190985
650	355218	190431
651	355802	189907
652	356343	189358
653	356779	188754
654	357289	188190
655	357998	187730
656	358536	187181
657	359241	186718
658	359785	186171
659	360340	185630
660	360935	185109
661	361481	184562
662	362001	184004
663	362652	183511
664	363150	182940
665	363691	182391
666	364197	181825
667	364644	181230
668	365116	180648
669	365642	180092
670	366133	179519
671	366665	178967
672	367205	178419
673	367742	177869
674	368261	177311
675	368772	176749
676	369334	176211
677	369889	175670
678	370372	175095
679	370853	174519
680	371340	173946
681	371960	173436
682	372484	172880
683	373026	172333
684	373575	171790
685	374066	171219
686	374598	170668
687	375085	170096
688	375514	169499
689	376048	168949
690	376657	168432
691	377202	167887
692	377753	167345
693	378260	166783
694	378791	166232
695	379314	165677
696	379904	165152
697	380463	164613
698	380978	164055
699	381551	163522
700	382054	162959
701	382583	162407
702	383193	161889
703	383778	161361
704	384447	160868
705	384999	160325
706	385552	159783
707	386070	159227
708	386557	158657
709	387040	158087
710	387553	157528
711	388132	156997
712	388637	156436
713	389122	155866
714	389619	155302
715	390170	154760
716	390734	154223
717	391232	153659
718	391786	153118
719	392306	152563
720	392745	151977
721	393323	151446
722	393875	150903
723	394376	150342
724	394916	149795
725	395437	149242
726	395967	148692
727	396459	148127
728	396942	147560
729	397623	147066
730	398170	146522
731	398758	145993
732	399295	145445
733	399863	144909
734	400381	144355
735	400890	143797
736	401345	143221
737	401906	142682
738	402454	142138
